X;	Alfa;	Betta;	sqrt4;	Vm;	
0;	30,64;	21,94;	2,55761532;	0,71101706;	
0,025;	28,45;	26,27;	2,35600451;	0,64436723;	
0,05;	25,53;	30,05;	2,15806384;	0,58051917;	
0,075;	22,15;	32,59;	1,96977116;	0,52100447;	
0,1;	19,22;	29,84;	1,87575878;	0,48769728;	
0,125;	15,57;	20,88;	1,84591493;	0,47163126;	
0,15;	10,27;	9,7;	1,8159015;	0,45579128;	
0,175;	5,87;	2,45;	1,93654472;	0,47735827;	
0,2;	2,95;	2,45;	1,39;	0,33638;	
0,225;	0;	2,45;	1,39;	0,330125;	
0,25;	0;	2,45;	1,39;	0,32387;	
